,1,10,20,30,40,50,60,70,80,90,100
0.765,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.77,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.775,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.78,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.785,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.79,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.795,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.8,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.805,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.81,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.8150000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.8200000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.8250000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.8300000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.835,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.84,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.845,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.85,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.855,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.86,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.865,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.87,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.875,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.88,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.885,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.89,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.895,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.9,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.905,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.91,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.915,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.92,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.925,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.93,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.935,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.9400000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.9450000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.9500000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.9550000000000001,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.96,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.965,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.97,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.975,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.98,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.985,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.99,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.995,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
